2026-02-28T23:14:27.454690	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.473484	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.491742	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.513380	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.536096	nicolas@uniandes.edu.co	hoteles	Authorized
2026-02-28T23:14:27.556363	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.575618	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.593762	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.612830	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.631602	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.649773	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.668202	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.686481	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.704767	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.722931	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.742140	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.761761	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.781063	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.800404	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.820871	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.840221	nicolas@uniandes.edu.co	hoteles	Authorized
2026-02-28T23:14:27.859705	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.879662	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.898404	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.918069	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.936628	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:27.956999	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.977517	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:27.996632	nicolas@uniandes.edu.co	hoteles	Authorized
2026-02-28T23:14:28.015640	nicolas@uniandes.edu.co	hoteles	Authorized
2026-02-28T23:14:28.034787	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.054090	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.073555	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.093974	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.114305	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.138437	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.160270	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.181437	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.203933	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.227932	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.250677	john@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.271969	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.292652	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.312432	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.332817	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.352998	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.373419	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.393680	jose@uniandes.edu.co	viajero	Authorized
2026-02-28T23:14:28.413710	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.434554	nicolas@uniandes.edu.co	hoteles	Authorized
2026-02-28T23:14:28.454686	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.475507	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.499764	diego@uniandes.edu.co	administrador	Unauthorized
2026-02-28T23:14:28.523397	diego@uniandes.edu.co	administrador	Unauthorized
